epoch,train_stft_l1,train_stft_mse,train_energy_l1,train_onset_l1,train_spectral_convergence,train_loss,train_base_stft_l1,train_base_stft_mse,train_base_energy_l1,train_base_onset_l1,train_base_spectral_convergence,train_base_loss,val_stft_l1,val_stft_mse,val_energy_l1,val_onset_l1,val_spectral_convergence,val_loss,val_base_stft_l1,val_base_stft_mse,val_base_energy_l1,val_base_onset_l1,val_base_spectral_convergence,val_base_loss
1,0.043626349234580995,0.01799193517640233,0.020018994235247372,0.0018901419066824018,0.5775887327432633,0.13583185158967973,0.04378588586598635,0.01796050314642489,0.019946531270444393,0.00189141306290403,0.5847175285577774,0.13638036772608758,0.04440169422328472,0.01956365552172065,0.022212357718497514,0.0018312393515370787,0.6102806992530823,0.14101040118932723,0.04489682883024216,0.019595221094787122,0.02245159736648202,0.0018308216631412505,0.6113469853401184,0.1413392215371132
2,0.0435202569693327,0.017970169777423144,0.01989043876118958,0.0018885192785877735,0.5761890897512436,0.1355051982164383,0.04378588584661484,0.01796050314232707,0.019946531300619245,0.0018914130687247962,0.5844131561994552,0.136337773501873,0.04447218690812588,0.01951097248122096,0.022329186849296093,0.0018286082549020647,0.6097091295719147,0.1408386216163635,0.04489682883024216,0.019595221094787122,0.02245159736648202,0.0018308216631412505,0.6113469853401184,0.1413392215371132
3,0.04347793836295605,0.017947692864015697,0.019891417463123798,0.001888659942196682,0.5758206656217575,0.13533831429481508,0.04378588588535786,0.01796050316542387,0.019946531213074922,0.0018914130608085544,0.5850067515611649,0.13633922528624534,0.044598863005638124,0.019592151414602996,0.022452337369322777,0.0018297278629615904,0.6103150577545166,0.14077175384759902,0.04489682883024216,0.019595221094787122,0.02245159736648202,0.0018308216631412505,0.6113469853401184,0.1413392215371132
4,0.043408406177908185,0.017913832394964992,0.019854108287021516,0.0018889943439047783,0.5748672385454178,0.13516264798045158,0.043785885861516,0.017960503163188694,0.01994653131440282,0.0018914130663499236,0.5844849745035171,0.13633628379106522,0.0444647594243288,0.01955491792410612,0.022333481330424548,0.001832004546187818,0.6097654728889466,0.14065187472105026,0.04489682883024216,0.019595221094787122,0.02245159736648202,0.0018308216631412505,0.6113469853401184,0.1413392215371132
5,0.04337809215784073,0.01789648248180747,0.019836056154966353,0.0018896230606362224,0.5752507331132889,0.13512141990065574,0.043785885851085185,0.01796050314232707,0.019946531245857477,0.0018914130644407123,0.5852254667043686,0.13640361450314523,0.04417446890473366,0.019473715286701918,0.022172037687152625,0.0018310405728407203,0.6093342838287353,0.14053965455293654,0.04489682883024216,0.019595221094787122,0.02245159736648202,0.0018308216631412505,0.6113469853401184,0.1413392215371132
6,0.043345557345449925,0.017879620664194226,0.01981669193133712,0.0018894303866662085,0.5747189782619476,0.13504350240826607,0.04378588590174914,0.01796050316877663,0.01994653129428625,0.0018914130652323365,0.5854369611740112,0.13642688876986503,0.044223447501659394,0.019498577620834113,0.022227696627378463,0.0018297455962747336,0.6093616778850556,0.1404886900782585,0.04489682883024216,0.019595221094787122,0.02245159736648202,0.0018308216631412505,0.6113469853401184,0.1413392215371132
7,0.043298711220920084,0.01786003854162991,0.01978382928930223,0.001889116859761998,0.573343124294281,0.13486766900420188,0.0437858858987689,0.017960503154993056,0.019946531274169683,0.001891413061786443,0.5841240696668625,0.1363298868238926,0.043998415917158126,0.019480611972510813,0.022083430860191582,0.0018301635794341564,0.6091488571166992,0.1406260528564453,0.04489682883024216,0.019595221094787122,0.02245159736648202,0.0018308216631412505,0.6113469853401184,0.1413392215371132
8,0.04327365270704031,0.017843236153945327,0.01975389941483736,0.001888619560888037,0.5731790809631347,0.13475809784531592,0.04378588582575321,0.01796050310060382,0.01994653129577637,0.0018914130645338446,0.5844660405397415,0.1363085469841957,0.04472621384263038,0.01958969547972083,0.022712457831948994,0.0018324266904965042,0.6106618814468384,0.14056142193078994,0.04489682883024216,0.019595221094787122,0.02245159736648202,0.0018308216631412505,0.6113469853401184,0.1413392215371132
9,0.04325495612025261,0.017829983381554483,0.01972798862606287,0.0018883382816333324,0.573655990743637,0.1347445420086384,0.043785885892808435,0.017960503127798438,0.019946531286090613,0.0018914130667224526,0.5854078840494156,0.13637145054340363,0.044694683879613874,0.019562032502144576,0.02267403171956539,0.0018319852091372012,0.6097486488819123,0.14045597171783447,0.04489682883024216,0.019595221094787122,0.02245159736648202,0.0018308216631412505,0.6113469853401184,0.1413392215371132
10,0.043270159633457664,0.017832398810237647,0.019763206228613852,0.0018882836755365134,0.5732431180000305,0.13480090447068213,0.043785885924100876,0.017960503078997134,0.01994653128758073,0.0018914130620658399,0.5848973451852798,0.13643234378695487,0.044240459084510804,0.01944507459551096,0.02226536502689123,0.0018270503715611993,0.6095266861915588,0.14030423986911775,0.04489682883024216,0.019595221094787122,0.02245159736648202,0.0018308216631412505,0.6113469853401184,0.1413392215371132
11,0.0432249748647213,0.01781227509044111,0.019719862428307533,0.0018871106887236237,0.5734789501428604,0.13478940744400025,0.04378588590174914,0.017960503198951483,0.01994653130173683,0.0018914130690973253,0.5851230140447616,0.13646235348582267,0.04440634748339653,0.019486098773777483,0.02231939609348774,0.001828137433156371,0.6086831352710724,0.14028996312618255,0.04489682883024216,0.019595221094787122,0.02245159736648202,0.0018308216631412505,0.6113469853401184,0.1413392215371132
12,0.043220628678798674,0.017805426823720338,0.019715976446866987,0.0018867566888220609,0.5722863062620163,0.13464697140455245,0.04378588584810495,0.0179605031657964,0.0199465313449502,0.0018914130653720348,0.5841833816289902,0.1363629004716873,0.044857470840215685,0.01965695959329605,0.022872304912656547,0.0018296124660409988,0.61065736079216,0.14062088310718537,0.04489682883024216,0.019595221094787122,0.02245159736648202,0.0018308216631412505,0.6113469853401184,0.1413392215371132
13,0.04320980232656002,0.01779044761322439,0.019676641784608363,0.0018855015425477176,0.5725065069675446,0.13457977243065833,0.04378588595092297,0.017960503117740154,0.019946531292796135,0.0018914130663033575,0.5849171511173248,0.13639353676438332,0.04419554144144058,0.019442556377500295,0.022169631619006397,0.0018248737626709044,0.609028568983078,0.14030902576446533,0.04489682883024216,0.019595221094787122,0.02245159736648202,0.0018308216631412505,0.6113469853401184,0.1413392215371132
14,0.04319258681386709,0.017784918896853925,0.01967144065797329,0.0018852002195548266,0.5727603374242782,0.1345750036418438,0.04378588587790728,0.017960503141209484,0.01994653129056096,0.0018914130656048655,0.5852188400268554,0.13640040684938431,0.044796156644821165,0.019633581597357987,0.022733769282698633,0.001828611683100462,0.6113844983577729,0.14052063745260238,0.04489682883024216,0.019595221094787122,0.02245159736648202,0.0018308216631412505,0.6113469853401184,0.1413392215371132
15,0.04317468591332436,0.017769563161581754,0.019652775999903678,0.0018849468119908125,0.5717162035703659,0.13444270629286767,0.04378588586598635,0.017960503097996117,0.019946531309932472,0.0018914130622986703,0.5844184138059616,0.13633463728427886,0.04407559223473072,0.01942253230884671,0.022083670627325774,0.0018226106874644757,0.6082814135551453,0.1403767035603523,0.04489682883024216,0.019595221094787122,0.02245159736648202,0.0018308216631412505,0.6113469853401184,0.1413392215371132
16,0.043165608875453475,0.01776201492547989,0.019651048888638615,0.0018838705694302917,0.571797308397293,0.13450891842246054,0.043785885819792744,0.017960503113642334,0.01994653131365776,0.0018914130615070462,0.5844719920158387,0.13640782397985457,0.04443638260662556,0.019525098085403442,0.022395590998232365,0.0018253967450000345,0.6085906581878662,0.14026436829566954,0.04489682883024216,0.019595221094787122,0.02245159736648202,0.0018308216631412505,0.6113469853401184,0.1413392215371132
